path,inboundRefs,lastModified,size
COMPLETION_PHASE3_DAY4_ISSUE_DETAIL_PAGE.md,2,2025-11-02T20:15:11Z,19097
CLAUDE.md,159,2025-11-03T22:15:49Z,27942
clauddesktop.md,1,2025-11-02T20:15:11Z,7324
DOCS_GENERATION_PROMPT.md,8,2025-11-02T20:16:11Z,5801
COMPLETION_WEEK_1.5_PHASE_3_DAY_4.md,1,2025-11-02T20:15:11Z,20232
COMPLETION_TEMPLATE.md,11,2025-11-03T22:15:49Z,7079
COMPLETION_PHASE3_TESTING_QA.md,6,2025-11-02T20:15:11Z,19140
COMPLETION_PHASE3_DAYS_5_6_FIVE_PAGES.md,11,2025-11-02T20:15:11Z,18228
DASHBOARD_TRANSFORMATION_COMPLETE.md,3,2025-11-02T20:15:11Z,8190
DASHBOARD_GAP_ANALYSIS.md,2,2025-11-02T20:15:11Z,14613
DIRECTORY_STRUCTURE.md,4,2025-11-02T20:15:11Z,10817
ISSUES_PAGE_FIXES_SUMMARY.md,1,2025-11-02T20:15:11Z,6366
gpt_discuss.md,5,2025-11-03T22:15:49Z,11908
GPT-5 Assistant Integration (Non-Disru.md,1,2025-11-02T20:15:11Z,3601
GEMINI.md,3,2025-11-02T20:15:11Z,11576
JUNIE.md,2,2025-11-03T08:18:11Z,2165
ISSUES_PAGE_FIX_PLAN.md,1,2025-11-02T20:15:11Z,6922
new_workflow_plan.md,3,2025-11-02T20:15:12Z,7291
THEME_SYSTEM_COMPLETE.md,11,2025-11-02T20:15:12Z,11874
WEEK_1_5_PHASE_1_COMPLETION.md,5,2025-11-02T20:15:12Z,11394
week1.5_audit.md,0,2025-11-02T20:15:12Z,13326
SESSION_START_QUICK_GUIDE.md,17,2025-11-03T22:15:49Z,17228
SESSION_START_GUIDE.md,13,2025-11-03T22:15:49Z,11394
STATUS.md,688,2025-11-03T22:15:49Z,25999
THEME_SYSTEM_IMPLEMENTATION.md,1,2025-11-02T20:15:12Z,9969
WEEK_1_DAYS_3_4_COMPLETION.md,3,2025-11-02T20:15:12Z,18743
WEEK_1_5_PHASE_2_COMPLETION.md,5,2025-11-02T20:15:12Z,16167
WEEK_1_DAY_2_COMPLETION.md,5,2025-11-02T20:15:12Z,12622
WEEK_1_DAY_5_COMPLETION.md,1,2025-11-02T20:15:12Z,13738
.claude/PHASE_5_COMPLETION.md,3,2025-11-02T20:15:08Z,8381
.claude/PHASES_6-8_COMPLETION.md,0,2025-11-02T20:15:08Z,17958
.claude/MCP_USAGE_GUIDE.md,8,2025-11-02T20:15:08Z,11166
.claude/MCP_TOOLS_RECOMMENDATIONS.md,3,2025-11-02T20:15:08Z,8747
.claude/MCP_CONFIGURATION_FIX.md,0,2025-11-02T20:15:08Z,7874
.junie/WORKFLOW_CONVENTIONS.md,2,2025-11-03T08:18:11Z,2280
.junie/SESSION_START_QUICK_GUIDE.md,17,2025-11-03T08:18:11Z,1424
.junie/README.md,312,2025-11-03T08:18:11Z,2263
.junie/JUNIE.md,2,2025-11-03T08:18:11Z,4061
.junie/INTEGRATION_PLAN.md,2,2025-11-03T08:18:11Z,2700
.junie/AGENTS_AND_SKILLS_BRIDGE.md,2,2025-11-03T08:18:11Z,1947
docs/WORKFLOW_ARCHITECTURE.md,48,2025-11-03T22:15:49Z,27712
docs/UI_TRANSFORMATION_PLAN.md,68,2025-11-02T20:16:14Z,35351
docs/README.md,312,2025-11-02T20:15:11Z,6764
docs/MIGRATION_GUIDE.md,50,2025-11-02T20:16:14Z,26554
docs/Executive Architecture Review — Moksha.md,3,2025-11-02T20:15:11Z,5918
docs/DEVELOPMENT_PLAN_AUDIT.md,0,2025-11-02T20:15:11Z,7525
docs/DEVELOPMENT_PLAN.md,390,2025-11-03T22:15:49Z,153925
docs/COMPLETION_PHASE_5_FINAL_INTEGRATION.md,6,2025-11-02T20:15:11Z,14746
mockups/THEMES_OVERVIEW.md,3,2025-11-02T20:15:12Z,9141
mockups/SUMMARY.md,7,2025-11-02T20:15:11Z,11983
mockups/README.md,312,2025-11-02T20:15:11Z,13210
mockups/QUICK_REFERENCE.md,49,2025-11-02T20:15:11Z,9898
mockups/MOCKUPS_COMPLETE.md,19,2025-11-02T20:15:11Z,12825
mockups/INDEX.md,3,2025-11-02T20:15:11Z,11943
mockups/DESIGN_DIRECTION.md,40,2025-11-02T20:15:11Z,13978
mockups/DESIGN_BRAINSTORM.md,5,2025-11-02T20:15:11Z,14115
theme/THEME_GUIDE.md,52,2025-11-02T20:15:12Z,18213
theme/README.md,312,2025-11-02T20:15:12Z,10405
theme/QUICK_REFERENCE.md,49,2025-11-02T20:15:12Z,4576
theme/COMPONENTS_REFERENCE.md,55,2025-11-02T20:15:12Z,29065
transcripts/transcript_frontend.md,0,2025-11-02T20:15:12Z,12049
transcripts/transcript_cursor.md,0,2025-11-02T20:15:12Z,43704
transcripts/transcript_context_management.md,3,2025-11-02T20:15:12Z,13573
transcripts/transcript_agent_work.md,2,2025-11-02T20:15:12Z,18412
